position_type,rsi,rsi_delta,dxy_rsi,vix_close,us10y_rsi,outcome
1,0.317778052,0.515944506,0.299463691,0.042963969,0.306259352,0
1,0.278807995,0.515034832,0.605097785,0.235486044,0.564629728,1
0,0.76814802,0.601482072,0.551246701,0.310401066,0.51849378,1
1,0.27236546,0.50028234,0.534481011,0.040788578,0.755673821,1
1,0.272266599,0.529522678,0.624584179,0.096397006,0.728748768,1
1,0.278551734,0.506348843,0.489269747,0.047586674,0.399884092,0
1,0.255237686,0.518208958,0.110089165,0.06634942,0.534130894,1
0,0.809034022,0.639467243,0.668001203,0.16791298,0.303483462,1
1,0.316093131,0.552973695,0.786164061,0.07056424,0.538466372,0
1,0.233027464,0.419153686,0.635589561,0.091638339,0.43015369,0
1,0.31070436,0.488580849,0.278225491,0.084568319,0.279077003,1
0,0.748830941,0.630771345,0.46715309,0.12535691,0.466852632,0
0,0.801533439,0.620839627,0.496815771,0.114615904,0.574965873,1
1,0,0,0.74790209,0.043371855,0.545188509,1
1,0.229289589,0.493082742,0,0.07409925,0.800204024,1
0,0.753868546,0.567523268,0.635760929,0.040516654,0.705553068,1
1,0.298057646,0.510136734,0.586206912,0.150645801,0.958522167,1
0,0.763629167,0.61761838,0.434930777,0.024881033,0.771151478,0
1,0.314409018,0.480214315,0.699031601,0.105234518,0.745047202,0
0,0.762420684,0.585678343,0.596489474,0.27586675,0.304122375,0
0,0.828281084,0.60190438,0.191780451,0.042556083,0.437016186,1
1,0.291003358,0.542774384,0.626343684,0.04867437,0.707171646,1
0,0.886278901,0.712393437,0.509292902,0.0267845,0.501307208,0
0,0.853406877,0.630445968,0.477529851,0.103331064,0.456677446,0
1,0.311857528,0.505730572,0.535315121,0.041332426,0.291344124,1
1,0.312520235,0.422875091,0.422018851,0.008701563,0.79148487,0
1,0.269061177,0.464229592,0.372972085,0.047450713,0.532446824,1
0,0.746147937,0.631020843,0.22522572,0.057919781,0.120248164,1
0,0.825676564,0.610708184,0.328499979,0.098028549,0.546471437,1
1,0.315863908,0.551550421,0.773994767,0.199864033,0.296043223,0
1,0.296676865,0.540960557,0.300532259,0.034262406,0.404644616,1
1,0.251842938,0.489813323,0.1937989,0.115975524,0.314674415,1
1,0.237601207,0.511095808,0.816385201,0.122637658,0.688300493,0
0,0.769609074,0.611399451,0.29473672,0.043371855,0.43216045,0
1,0.319003922,0.544924705,0.418674699,0.032766824,0.472463054,1
1,0.183969513,0.480024751,0.588076343,0.103059127,0.628539126,0
1,0.280425838,0.460022916,0.389786919,0.087831405,0.457437503,0
1,0.266436888,0.417161485,0.579545873,0.108361669,0.610653944,1
1,0.252510918,0.496965697,0.681614227,0.07056424,0.479623824,1
0,0.791353625,0.649582278,0.105062136,0.005030591,0.730060762,0
1,0.299161398,0.423064186,0.78471985,0.06988443,0.445388143,1
1,0.23634914,0.488531232,0.342344867,0.043643779,0.62634664,1
1,0.304252571,0.534447069,0.079733475,0.064445953,0.804588704,0
1,0.243219653,0.504127955,0.526529731,0.09027872,0.531340241,1
1,0.314476407,0.551411477,0.320706394,0.010197145,0.318903703,1
1,0.296292084,0.507694875,0.818989208,0.065941535,0.74585368,1
0,0.791819889,0.631604964,0.215947293,0.089870834,0.542469025,1
1,0.299076652,0.528475373,0.365713923,0.062542486,0.22845837,1
0,0.821531647,0.649155605,0.522223901,0.091502377,0.527514534,1
0,0.763398271,0.732807556,0.335548503,0.050577837,0.617777139,1
0,0.838810476,0.723404905,0.425981096,0.220394284,0.483158383,1
1,0.19860465,0.317242992,0.678412902,0.123181519,0.583530283,1
1,0.305928625,0.550311304,0.338816872,0.07124405,0.849342192,1
1,0.185989978,0.450669416,0.370573175,0.132155007,0.317480536,1
1,0.308845666,0.551087508,0.338580594,0.107681833,0.548877942,1
1,0.259670835,0.517117853,0.141343363,0.063902106,0.72836031,1
0,0.806043671,0.615228618,0.700280814,0.051393608,0.61088284,1
0,0.803918115,0.646482737,0.164771775,0.148198514,0.479555396,0
0,0.820453802,0.627529358,0.902911245,0.162882402,0.342303608,0
0,0.794016295,0.721494928,0.268880489,0.226648519,0.5408867,0
0,0.760036778,0.656224842,0.716155588,0.208157724,0.581484346,1
1,0.2639456,0.524869812,0.720931842,0.050713799,0.352374927,0
0,0.853432774,0.657596006,0.605577785,0.163154299,0.62691506,1
0,0.766742492,0.59484847,0.405405259,0.033310672,0.424256589,1
0,0.786051557,0.590896726,0.518105487,0.077226375,0.714866477,0
0,0.791543385,0.671675918,0.546391896,0.209109444,0.234660016,0
0,0.823454038,0.640251174,0.635291553,0.095037373,0.188516786,0
1,0.315397311,0.532374329,0.443241566,0.027464309,0.558917493,1
1,0.285291356,0.5172511,0.774871478,0.053976885,0.46232362,0
1,0.277077687,0.382524958,0.438888869,0.493133909,0.375826024,1
0,0.753276342,0.59087485,0.33632245,0.224881027,0.405210059,0
0,0.819934853,0.677640755,0.579911507,0.06634942,0.130064341,1
0,0.753156154,0.727628448,0.650511301,0.125900744,0.823397698,0
0,0.786893766,0.612989816,0.498057186,0.258599585,0.21219283,1
0,0.903820342,0.65091519,0.415729113,0.099524117,0.455122318,0
1,0.180091716,0.448641312,0.035134353,0.232630857,0.542065102,0
0,0.796353818,0.614944682,0.372293567,0.044595512,0.876153809,1
0,0.800590652,0.623739523,0.419513502,0.019578517,0.591335448,1
0,0.768721784,0.657246405,0.818184215,0.107273974,0.442569666,0
0,0.794586838,0.653716078,0.080589053,0.0267845,0.980316709,1
0,0.833018132,0.730561775,0.333330303,0.050305913,0.14078009,1
0,0.788263477,0.686607173,0.657528448,0.080489461,0.494212578,1
0,0.754487748,0.639424598,0.384400707,0.006118287,0.679802956,0
1,0.243111317,0.497907805,0.584210526,0.043371855,0.316316477,1
1,0.258841983,0.475943165,0.254636769,0.184772259,0.478191158,0
0,0.760237492,0.619719475,0.507248246,0.100883736,0.70559905,1
0,0.745697213,0.560574377,0.705884645,0.062950372,0.498063726,0
